name,brand,price,rating,search_input
boys pack 3 ankle socks,Balenzia x Marvel,336,0.0,Socks
men pack 4 shoe liners,Heelium,415,3.3,Socks
men pack 3 show socks,U.S. Polo Assn.,424,4.3,Socks
men set 3 socks,HRX by Hrithik Roshan,307,4.8,Socks
set 3 ankle-length socks,Mast & Harbour,230,4.3,Socks
men pack 2 patterned socks,SuperGear,398,0.0,Socks
men set 2 socks,Jockey,258,4.5,Socks
men pack 3 shoe liner socks,Red Tape,389,0.0,Socks
boys set 5 patterned socks,Marks & Spencer,799,4.4,Socks
pack 4 ankle length socks,HRX by Hrithik Roshan,341,4.2,Socks
men 2 pcs calf length socks,TOFFCRAFT,399,0.0,Socks
5pc girls ankle length socks,max,299,0.0,Socks
men pack 3 cotton socks,HRX by Hrithik Roshan,359,4.6,Socks
2 ankle terry socks,DAMENSCH,328,4.5,Socks
pack 3 ankle-length socks,Dollar Socks,251,4.3,Socks
pack 3 ankle length socks,MARC,252,4.2,Socks
men pack 5 anti-odour socks,FOOTPRINTS,399,0.0,Socks
men pack 3 shoe liner socks,WROGN,279,4.4,Socks
3-pcs ankle-length socks,HRX by Hrithik Roshan,307,0.0,Socks
women pack 3 printed socks,N2S NEXT2SKIN,360,0.0,Socks
men ribbed ankle socks,Mint & Oak,299,0.0,Socks
pack 2 ankle-length sock,Jockey,278,4.5,Socks
unisex 2 ankle length socks,Puma,499,4.5,Socks
men pack 3 socks,HRX by Hrithik Roshan,286,0.0,Socks
women pack 3 ankle socks,DressBerry,219,4.2,Socks
women pack 3 cotton socks,Dollar Socks,235,4.2,Socks
men pack 2 non-terry socks,DAMENSCH,399,4.6,Socks
men pack 3 socks,Allen Solly,449,0.0,Socks
girls set 5 patterned socks,Marks & Spencer,799,0.0,Socks
5-pack textured-knit socks,H&M,499,4.6,Socks
boys pack 3 socks,Skechers,349,3.5,Socks
men pack 3 cotton ankle-length socks,Dollar Socks,251,3.2,Socks
unisex calf-length socks,DAMENSCH,337,0.0,Socks
men set 2 calf length socks,Balenzia,349,0.0,Socks
men pack 3 socks,HRX by Hrithik Roshan,251,4.2,Socks
men pack 5 assorted cotton ankle-length socks,Dollar Socks,314,4.1,Socks
boys pack 5 socks,Marks & Spencer,799,4.7,Socks
men pack 3 socks,Peter England,369,0.0,Socks
pack 4 ankle length socks,HRX by Hrithik Roshan,329,4.3,Socks
unisex crew length socks,Dynamocks,297,4.5,Socks
men patterned socks,H&M,299,4.6,Socks
men pack 3 cotton ankle-length socks,Dollar Socks,255,4.9,Socks
men pack 3  socks,WROGN,295,4.4,Socks
men set 2 calf length socks,Balenzia,339,0.0,Socks
men cushioned ankle socks,Mint & Oak,299,0.0,Socks
men pack 5 striped socks,HRX by Hrithik Roshan,329,4.5,Socks
pack 2 ankle length socks,Jockey,228,4.6,Socks
men pack 3 shoe liners,Balenzia,287,4.2,Socks
men pack 3 striped socks,Mast & Harbour,233,3.7,Socks
men ankle length socks,Mint & Oak,299,0.0,Socks
women pack 2 ankle socks,J Style,326,0.0,Socks
set 3 ankle socks,WROGN,299,4.2,Socks
set 3 ankle length socks,Puma,519,4.3,Socks
pack 2 patterned ankle-length socks,Dynamocks,299,0.0,Socks
men assorted ankle-length socks,SockSoho,299,4.2,Socks
women pack 3 cotton socks,HRX by Hrithik Roshan,367,4.5,Socks
girls 5-pack socks,H&M,599,4.5,Socks
5pc women ankle length socks,max,349,0.0,Socks
men pack 3 shoe liners,HRX by Hrithik Roshan,254,0.0,Socks
men pack 3 assorted socks,Bodycare,299,0.0,Socks
men calf-length socks,Mint & Oak,299,3.9,Socks
pack 3 low-cut socks,ADIDAS,435,4.4,Socks
men ankle-length socks,FILA,499,0.0,Socks
women running socks,HRX by Hrithik Roshan,359,4.6,Socks
women 3-pcs cotton socks,N2S NEXT2SKIN,360,0.0,Socks
set 3 ankle-length socks,Mast & Harbour,216,4.0,Socks
boys pack 3 assorted socks,Bodycare,297,0.0,Socks
men calf-length socks,Blackberrys,299,0.0,Socks
men pack 3 socks,HRX by Hrithik Roshan,251,4.3,Socks
boys 3-pack socks,H&M,399,4.6,Socks
colourblocked football socks,HRX by Hrithik Roshan,299,4.4,Socks
men pack 2 socks,FILA,499,0.0,Socks
men ankle-length socks,Mast & Harbour,233,4.2,Socks
men pack 5 socks,BAESD,225,4.4,Socks
men socks,H&M,249,4.3,Socks
pack 4 ankle-length socks,DressBerry,332,4.5,Socks
men pack 3 shoe liners,Balenzia,278,4.4,Socks
men set 3 ankle socks,Mast & Harbour,232,4.5,Socks
men run lowcut socks,Reebok,209,0.0,Socks
